"","num_collisions","temp","visib","wdsp","prcp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_2021","year_2022","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week","isMon","isTue","isWed","isThur","isFri","isSat","isSun","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","day"
"71",481,52.5,9.3,2,0.04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,378,17,5,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
"72",640,58.2,7.5,5.2,0.03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,525,34,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
"73",657,53.4,10,5.5,0.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,538,36,9,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
"74",594,51.2,10,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,494,30,7,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12
"75",547,45.2,10,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,457,33,5,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13
"76",517,58.7,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,426,28,11,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
"77",607,65.3,9.4,4.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,508,38,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
"78",615,51.9,10,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,497,43,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
"79",630,56.8,9.7,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,532,38,5,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
"80",426,56.5,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,342,34,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21
"81",609,57.8,10,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,518,27,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
"82",522,59,9.7,2.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,452,16,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23
"83",494,57.1,6.4,4.1,0.07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56,401,28,8,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
"84",511,58,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,426,28,3,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25
"85",598,60.8,10,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,500,27,7,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,26
"86",524,61.9,9.6,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,442,25,4,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27
"87",403,57.7,9.6,11.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,328,21,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28
"88",298,56.9,6.1,18.7,0.03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,149,135,11,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29
"89",549,49.7,8.6,5.5,0.06,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,448,16,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31
"90",439,47.7,10,6,0.04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,376,14,5,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"91",345,48.2,10,5.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,291,12,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
