collision_date,NUM_COLLISIONS,vehicle_1,vehicle_2,vehicle_3,vehicle_4,vehicle_5
2020-01-18,774,774,643,83,24,6
2020-03-07,515,515,445,47,11,2
2020-03-01,423,420,344,33,11,1
2020-02-21,504,500,407,46,14,3
2020-01-26,398,396,328,30,8,2
2020-02-10,572,567,461,44,4,0
2020-02-03,559,555,453,43,12,3
2020-02-17,339,338,282,21,7,3
2020-02-13,504,503,409,25,6,1
2020-02-09,373,371,317,36,7,3
2020-01-17,566,564,454,23,3,2
2020-01-06,459,458,377,30,8,1
2019-12-17,700,697,548,34,5,2
2020-01-12,391,388,316,32,9,1
2020-01-01,346,343,268,43,11,2
2019-12-16,519,519,432,37,7,1
2019-12-12,599,596,533,32,7,0
2019-10-06,435,433,357,35,9,2
2019-12-09,737,728,563,35,4,1
2019-11-18,743,735,589,45,4,1
2019-11-26,702,700,595,47,8,0
2019-11-25,641,639,545,45,11,3
2019-11-17,444,443,372,47,15,4
2019-10-23,669,664,559,47,7,1
2019-10-26,525,522,428,38,10,2
2019-10-18,634,633,542,35,11,3
2019-10-21,559,558,489,45,11,2
2019-10-04,708,705,597,46,12,4
2019-09-26,645,645,554,31,6,3
2019-09-23,639,637,542,38,8,2
2019-10-14,400,399,340,29,7,2
2019-10-05,557,556,482,25,4,2
2019-09-19,605,604,531,30,4,0
2019-10-03,690,690,574,38,14,4
2019-08-31,502,500,408,36,12,4
2019-09-10,605,604,511,45,5,2
2019-09-04,600,597,521,43,11,3
2019-09-14,488,485,408,41,7,3
2015-04-21,645,639,555,44,12,1
2015-03-26,525,525,466,32,7,1
2015-03-14,507,506,424,24,5,1
2015-04-19,471,468,424,36,7,3
2015-04-16,560,556,501,38,6,0
2015-03-24,601,596,533,28,1,0
2015-04-05,422,422,378,40,5,2
2015-04-18,605,604,520,46,10,5
2015-04-03,491,490,422,33,6,1
2015-04-13,554,553,484,29,5,1
2015-04-20,630,630,552,38,11,4
2015-04-10,486,485,423,25,4,1
2015-03-27,532,529,468,22,2,0
2015-04-17,679,674,609,51,10,0
2015-03-30,556,556,505,33,6,1
2015-02-25,628,628,554,41,12,3
2015-02-27,703,699,623,50,5,2
2015-03-03,631,625,555,37,7,1
2015-02-26,539,537,470,35,6,3
2015-03-11,565,564,510,26,8,2
2015-03-19,582,579,519,23,5,0
2015-02-24,580,577,508,36,8,2
2015-03-12,586,585,525,29,5,2
2015-03-10,584,582,484,27,3,2
2015-02-12,526,525,466,29,3,1
2015-02-16,402,400,350,27,6,0
2015-01-28,458,457,400,21,5,0
2015-02-19,515,515,462,29,6,1
2015-02-06,652,651,584,32,5,0
2015-02-08,394,394,337,39,12,3
2015-02-02,680,677,592,50,10,2
2015-01-31,526,524,454,39,12,4
2015-01-23,598,595,526,34,6,1
2015-01-17,495,492,428,28,7,1
2014-12-29,411,410,360,22,5,0
2015-01-05,498,495,417,42,9,2
2015-01-14,506,506,437,38,9,1
2015-01-15,548,547,476,46,11,2
2015-01-09,751,749,646,44,6,0
2015-01-12,580,577,492,45,9,0
2014-12-28,349,347,302,35,10,4
2015-01-11,341,341,303,26,8,4
2014-12-26,446,445,394,24,6,2
2014-12-25,303,302,267,23,6,1
2015-01-18,961,961,785,156,55,18
2014-11-28,444,444,386,28,11,1
2014-12-02,611,610,521,36,2,0
2014-12-01,644,642,558,39,5,2
2014-12-15,720,715,621,49,8,0
2014-12-20,505,505,432,28,5,0
2014-12-13,594,590,511,34,9,3
2014-12-05,673,667,552,31,8,3
2014-12-07,493,493,420,40,11,3
2014-11-15,529,526,458,32,10,2
2014-11-17,666,665,563,45,7,2
2014-11-10,560,557,491,34,4,0
2014-11-21,677,676,593,38,4,0
2014-11-12,546,542,482,31,6,0
2014-10-31,668,668,600,41,4,2
2014-10-23,639,639,563,33,4,1
2014-10-28,571,567,505,27,6,0
2014-10-27,642,638,561,37,10,3
2014-08-10,512,512,460,45,10,4
2014-07-31,626,625,561,40,12,3
2014-10-17,648,644,567,44,13,6
2014-10-03,719,718,637,51,9,3
2014-10-01,559,559,489,36,5,1
2014-10-16,602,600,532,37,4,0
2014-09-27,600,599,536,48,11,5
2014-10-06,639,639,574,35,9,3
2019-07-23,553,552,465,35,10,2
2019-08-10,572,569,478,53,15,5
2019-08-12,586,585,505,43,6,4
2019-08-05,616,616,527,30,9,1
2019-08-17,533,533,439,40,14,5
2019-07-19,666,664,585,46,8,3
2019-06-28,753,752,656,53,12,6
2019-06-22,635,634,543,48,9,2
2019-06-24,731,731,626,48,11,4
2019-06-23,559,558,484,59,13,4
2019-06-16,509,505,428,30,11,3
2019-06-06,744,743,654,53,14,3
2019-06-10,613,613,518,41,8,0
2019-05-22,693,685,592,41,9,2
2019-05-16,642,640,550,44,12,3
2019-05-03,651,647,550,45,7,0
2019-05-02,668,666,566,45,6,2
2019-04-17,621,619,529,48,9,3
2019-04-20,456,455,388,37,12,3
2019-04-22,522,521,439,30,9,1
2019-04-18,540,539,467,27,8,4
2019-04-24,515,514,432,39,3,0
2019-04-06,587,585,508,50,9,1
2019-04-02,553,550,477,35,6,1
2019-03-11,645,642,558,44,10,3
2019-03-25,526,526,434,25,3,3
2019-03-08,652,651,560,44,12,2
2019-03-26,610,607,512,41,2,1
2019-02-16,535,533,459,46,9,3
2019-02-25,700,699,572,38,7,3
2019-02-19,527,524,438,41,8,3
2019-03-02,642,639,496,40,12,3
2019-02-26,670,668,563,44,10,2
2019-02-09,540,536,444,43,8,3
2019-02-24,401,400,321,30,10,2
2019-02-18,406,403,317,22,2,0
2014-10-07,620,619,537,35,6,4
2014-10-13,451,450,381,35,7,2
2014-09-30,589,589,514,19,4,2
2014-10-02,558,556,504,30,8,1
2014-10-05,505,504,453,41,8,1
2014-09-23,592,589,526,29,3,3
2014-09-18,650,647,579,34,4,0
2014-09-10,618,616,539,30,3,1
2014-09-01,392,392,346,31,9,3
2014-09-21,515,513,445,35,6,1
2014-09-14,528,528,475,44,12,2
2014-08-24,437,437,397,38,9,4
2014-09-17,658,657,581,40,7,2
2014-08-21,567,565,503,36,9,4
2014-08-03,476,476,419,33,7,2
2014-08-13,572,569,495,26,4,2
2014-08-09,538,538,491,47,6,2
2014-08-08,601,600,550,32,5,1
2014-08-11,604,602,530,36,5,1
2014-08-17,476,476,424,37,8,1
2014-08-20,551,548,497,35,5,1
2014-08-06,562,561,497,32,7,3
2014-08-25,549,548,483,30,7,2
2014-08-30,510,507,445,39,15,1
2014-08-07,585,583,527,37,8,0
2014-08-29,631,628,558,41,10,1
2014-07-29,526,526,470,31,6,0
2014-06-03,663,661,601,39,11,4
2014-05-21,575,574,515,27,5,0
2014-07-07,614,612,555,43,8,3
2014-07-24,539,538,489,30,6,1
2014-07-22,587,583,524,37,5,2
2014-07-04,360,360,315,19,3,0
2014-07-11,642,641,569,32,7,1
2014-07-21,557,555,486,32,7,2
2014-07-10,584,582,516,33,5,1
2014-07-03,740,737,655,40,7,3
2014-07-15,587,587,524,43,4,1
2014-07-26,534,533,479,30,5,2
2014-07-02,658,658,573,43,10,4
2014-06-16,622,622,551,43,4,1
2014-06-13,708,708,615,42,10,5
2014-06-20,765,763,678,45,13,4
2014-06-18,663,660,588,34,8,2
2014-06-05,569,566,502,37,1,0
2014-06-21,557,557,496,42,14,4
2014-06-28,611,608,551,36,4,0
2014-06-19,675,674,602,47,7,3
2014-06-30,610,608,540,39,5,1
2014-05-10,549,547,499,36,8,4
2014-05-22,593,593,535,28,8,1
2014-05-23,660,660,580,32,5,1
2014-05-11,584,583,527,46,10,0
2014-05-15,659,657,573,50,13,2
2014-05-19,572,572,525,32,6,1
2014-05-27,645,642,570,43,8,2
2014-06-02,643,642,569,36,4,1
2014-05-25,472,472,414,44,11,3
2014-05-08,596,596,535,24,5,1
2014-04-05,580,580,471,36,8,2
2014-04-30,651,648,551,32,4,0
2014-04-07,533,532,443,35,5,0
2014-04-08,606,603,516,33,5,0
2014-04-24,586,586,527,39,8,1
2014-04-26,548,547,480,37,10,2
2014-04-23,536,536,464,29,4,1
2014-04-20,393,392,349,33,9,2
2014-04-15,452,452,312,16,4,0
2014-04-28,597,595,539,33,9,1
2014-05-03,590,590,518,41,15,5
2014-03-27,538,537,452,34,6,1
2014-03-13,545,545,263,14,0,0
2019-01-07,584,583,495,36,8,0
2019-02-02,577,575,503,46,15,3
2019-01-25,666,664,579,36,9,2
2018-12-22,568,564,463,34,7,2
2018-12-20,806,801,636,55,13,4
2018-12-05,652,651,559,27,4,2
2018-11-25,483,482,409,44,6,2
2018-12-03,697,694,599,39,7,1
2018-11-28,573,569,473,25,2,0
2018-11-10,606,604,521,39,10,3
2018-10-29,696,694,583,42,9,2
2018-10-21,593,590,493,50,7,0
2018-10-31,646,639,558,43,10,4
2018-10-24,719,717,632,37,4,0
2018-11-09,867,861,700,48,7,3
2018-10-06,544,544,462,39,7,2
2018-10-14,516,515,451,45,15,3
2018-09-24,594,593,506,35,4,0
2018-10-08,501,501,415,36,13,1
2018-10-04,717,715,607,44,8,1
2018-09-07,671,670,584,48,7,1
2018-09-08,568,567,481,53,11,1
2018-08-29,685,685,594,43,11,2
2018-09-19,519,519,434,21,7,3
2018-08-26,528,528,437,51,12,1
2018-08-10,707,703,614,36,4,1
2014-03-20,627,624,532,33,10,1
2014-03-31,559,558,479,37,5,3
2014-04-03,592,592,498,27,2,1
2014-03-07,533,530,439,30,3,0
2014-03-26,563,562,471,25,3,0
2014-03-08,515,514,441,35,8,3
2014-03-29,569,567,473,38,7,2
2014-02-06,569,569,496,28,7,2
2014-02-20,556,555,472,21,5,0
2014-02-16,464,462,413,27,3,1
2014-02-27,571,570,506,32,6,1
2014-03-02,344,342,302,19,4,3
2014-02-26,511,508,438,26,9,2
2014-03-05,491,489,419,20,0,0
2014-02-14,792,791,719,40,4,0
2014-02-08,424,424,380,24,4,2
2014-02-15,516,516,457,42,4,3
2014-02-11,636,634,570,40,10,4
2014-02-01,507,507,428,38,10,5
2013-11-28,429,429,383,31,13,1
2014-01-18,448,448,386,33,11,4
2014-01-06,518,518,450,28,7,3
2014-01-21,1161,1161,1047,109,32,10
2014-01-23,612,612,546,40,10,2
2014-01-16,521,520,450,20,4,0
2014-01-08,616,614,532,32,6,2
2014-01-27,511,511,449,30,6,0
2014-01-26,465,465,403,34,12,3
2014-01-03,423,423,371,19,4,0
2014-01-13,568,564,500,40,8,2
2014-01-05,320,319,280,24,5,1
2013-12-22,505,503,446,47,8,2
2013-12-10,539,538,453,32,7,2
2013-12-24,515,514,454,35,14,6
2013-12-06,759,758,612,44,7,1
2013-12-13,695,694,625,45,9,5
2013-12-14,690,689,595,55,7,0
2013-12-04,520,519,462,34,7,2
2013-11-27,742,741,606,42,8,3
2013-11-18,611,611,538,35,10,0
2013-11-12,647,646,565,38,8,0
2013-11-19,600,599,521,38,8,1
2013-11-13,593,591,524,35,6,1
2013-12-02,549,548,492,41,10,4
