"","collision_date","NUM_COLLISIONS","vehicle_1","vehicle_2","vehicle_3","vehicle_4","vehicle_5","date","year","no_v","one_v","two_v","three_v","four_v","five_v"
"132","2015-12-02",655,650,543,35,6,2,2015-12-02,2015,5,107,508,29,4,2
"133","2015-12-06",485,484,420,32,10,1,2015-12-06,2015,1,64,388,22,9,1
"134","2015-12-10",668,666,591,42,7,1,2015-12-10,2015,2,75,549,35,6,1
"135","2015-11-29",453,451,417,37,8,2,2015-11-29,2015,2,34,380,29,6,2
"136","2015-12-14",637,635,539,29,5,2,2015-12-14,2015,2,96,510,24,3,2
"137","2015-11-21",597,596,523,42,12,2,2015-11-21,2015,1,73,481,30,10,2
"138","2015-11-03",655,653,557,39,6,1,2015-11-03,2015,2,96,518,33,5,1
"139","2015-11-02",613,612,537,36,2,0,2015-11-02,2015,1,75,501,34,2,0
"140","2015-11-10",757,753,651,54,11,1,2015-11-10,2015,4,102,597,43,10,1
"141","2015-11-17",684,682,599,40,5,0,2015-11-17,2015,2,83,559,35,5,0
"142","2015-11-14",613,611,542,50,9,2,2015-11-14,2015,2,69,492,41,7,2
"143","2015-11-20",819,816,703,52,13,5,2015-11-20,2015,3,113,651,39,8,5
"144","2015-11-09",615,613,540,35,8,2,2015-11-09,2015,2,73,505,27,6,2
"145","2015-11-16",618,615,539,38,5,2,2015-11-16,2015,3,76,501,33,3,2
"146","2015-10-30",688,683,604,46,5,1,2015-10-30,2015,5,79,558,41,4,1
"147","2015-10-21",720,716,641,37,3,1,2015-10-21,2015,4,75,604,34,2,1
"148","2015-10-23",742,739,637,50,7,2,2015-10-23,2015,3,102,587,43,5,2
"149","2015-10-13",724,721,642,44,8,2,2015-10-13,2015,3,79,598,36,6,2
"150","2015-10-28",689,684,564,51,10,3,2015-10-28,2015,5,120,513,41,7,3
"151","2015-10-18",551,550,492,52,11,1,2015-10-18,2015,1,58,440,41,10,1
"152","2015-10-27",631,631,546,32,4,2,2015-10-27,2015,0,85,514,28,2,2
"153","2022-05-27",314,313,241,25,7,3,2022-05-27,2022,1,72,216,18,4,3
"154","2022-06-05",299,297,233,39,9,5,2022-06-05,2022,2,64,194,30,4,5
"155","2022-08-03",324,324,249,25,11,3,2022-08-03,2022,0,75,224,14,8,3
"156","2022-06-08",311,309,240,26,7,3,2022-06-08,2022,2,69,214,19,4,3
"157","2022-06-09",317,316,249,31,6,3,2022-06-09,2022,1,67,218,25,3,3
"158","2022-09-02",286,285,227,17,3,1,2022-09-02,2022,1,58,210,14,2,1
"159","2020-12-04",372,366,280,44,12,6,2020-12-04,2020,6,86,236,32,6,6
"160","2021-03-13",252,252,208,33,8,0,2021-03-13,2021,0,44,175,25,8,0
"161","2021-04-01",263,262,212,21,6,2,2021-04-01,2021,1,50,191,15,4,2
"162","2021-03-02",268,267,194,24,6,4,2021-03-02,2021,1,73,170,18,2,4
"163","2021-04-06",318,318,262,28,7,4,2021-04-06,2021,0,56,234,21,3,4
"164","2021-03-31",284,282,210,32,6,0,2021-03-31,2021,2,72,178,26,6,0
"165","2021-02-11",299,298,232,21,8,2,2021-02-11,2021,1,66,211,13,6,2
"166","2021-03-27",325,323,247,33,8,2,2021-03-27,2021,2,76,214,25,6,2
"167","2021-02-22",245,244,173,24,4,2,2021-02-22,2021,1,71,149,20,2,2
"168","2021-03-03",244,243,182,27,4,2,2021-03-03,2021,1,61,155,23,2,2
"169","2021-02-12",290,289,231,37,12,5,2021-02-12,2021,1,58,194,25,7,5
"170","2021-03-28",198,196,130,18,5,3,2021-03-28,2021,2,66,112,13,2,3
"171","2021-03-20",283,282,222,28,5,3,2021-03-20,2021,1,60,194,23,2,3
"172","2021-01-15",272,272,193,28,5,2,2021-01-15,2021,0,79,165,23,3,2
"173","2021-01-31",297,297,211,40,9,2,2021-01-31,2021,0,86,171,31,7,2
"174","2021-01-21",251,249,196,21,8,2,2021-01-21,2021,2,53,175,13,6,2
"175","2020-11-09",318,318,249,35,10,4,2020-11-09,2020,0,69,214,25,6,4
"176","2020-12-05",278,277,202,31,9,1,2020-12-05,2020,1,75,171,22,8,1
"177","2020-11-08",326,324,243,53,15,2,2020-11-08,2020,2,81,190,38,13,2
"178","2020-11-01",308,307,233,42,8,2,2020-11-01,2020,1,74,191,34,6,2
"179","2020-10-12",323,319,238,34,10,2,2020-10-12,2020,4,81,204,24,8,2
"180","2020-08-14",344,342,279,37,5,1,2020-08-14,2020,2,63,242,32,4,1
"181","2020-09-18",341,340,272,34,14,3,2020-09-18,2020,1,68,238,20,11,3
"182","2020-10-02",350,350,269,27,10,4,2020-10-02,2020,0,81,242,17,6,4
"183","2020-09-08",337,335,260,34,7,1,2020-09-08,2020,2,75,226,27,6,1
"184","2020-08-27",343,340,254,33,16,5,2020-08-27,2020,3,86,221,17,11,5
"185","2020-10-08",332,331,254,27,5,2,2020-10-08,2020,1,77,227,22,3,2
"186","2020-08-17",288,287,240,23,6,2,2020-08-17,2020,1,47,217,17,4,2
"187","2020-08-15",313,312,250,42,9,3,2020-08-15,2020,1,62,208,33,6,3
"188","2020-08-08",260,259,204,26,5,1,2020-08-08,2020,1,55,178,21,4,1
"189","2020-05-02",189,189,138,28,11,4,2020-05-02,2020,0,51,110,17,7,4
"190","2020-06-29",301,300,215,30,8,1,2020-06-29,2020,1,85,185,22,7,1
"191","2020-06-28",240,240,186,34,10,2,2020-06-28,2020,0,54,152,24,8,2
"192","2020-04-18",125,125,85,16,8,4,2020-04-18,2020,0,40,69,8,4,4
"193","2020-06-04",245,244,190,25,6,3,2020-06-04,2020,1,54,165,19,3,3
"194","2015-10-25",522,519,461,45,7,3,2015-10-25,2015,3,58,416,38,4,3
"195","2015-10-19",667,665,570,27,3,0,2015-10-19,2015,2,95,543,24,3,0
"196","2015-10-10",649,647,578,52,8,2,2015-10-10,2015,2,69,526,44,6,2
"197","2015-10-03",556,553,473,39,17,8,2015-10-03,2015,3,80,434,22,9,8
"198","2015-10-05",597,593,519,29,8,1,2015-10-05,2015,4,74,490,21,7,1
"199","2015-10-02",798,797,667,34,3,1,2015-10-02,2015,1,130,633,31,2,1
"200","2015-09-03",665,663,593,46,11,2,2015-09-03,2015,2,70,547,35,9,2
"201","2015-09-15",579,577,489,20,3,0,2015-09-15,2015,2,88,469,17,3,0
"202","2015-09-20",556,554,493,44,12,3,2015-09-20,2015,2,61,449,32,9,3
"203","2015-09-27",493,489,418,26,5,2,2015-09-27,2015,4,71,392,21,3,2
"204","2015-09-26",557,554,502,45,8,3,2015-09-26,2015,3,52,457,37,5,3
"205","2015-09-13",478,478,438,37,13,4,2015-09-13,2015,0,40,401,24,9,4
"206","2015-09-17",744,742,651,42,8,3,2015-09-17,2015,2,91,609,34,5,3
"207","2015-09-10",716,714,610,44,11,4,2015-09-10,2015,2,104,566,33,7,4
"208","2015-09-22",571,570,509,36,6,1,2015-09-22,2015,1,61,473,30,5,1
"209","2015-09-08",795,791,716,57,12,1,2015-09-08,2015,4,75,659,45,11,1
"210","2015-09-01",626,620,549,37,6,2,2015-09-01,2015,6,71,512,31,4,2
"211","2015-08-15",582,578,528,44,2,0,2015-08-15,2015,4,50,484,42,2,0
"212","2015-08-20",600,600,537,40,6,1,2015-08-20,2015,0,63,497,34,5,1
"213","2015-09-02",654,649,574,37,8,4,2015-09-02,2015,5,75,537,29,4,4
"214","2015-08-25",595,591,540,44,4,1,2015-08-25,2015,4,51,496,40,3,1
"215","2015-08-12",643,640,567,36,5,0,2015-08-12,2015,3,73,531,31,5,0
"216","2015-08-18",623,620,563,53,15,2,2015-08-18,2015,3,57,510,38,13,2
"217","2015-08-29",539,537,470,51,12,3,2015-08-29,2015,2,67,419,39,9,3
"218","2015-08-13",714,713,641,55,8,1,2015-08-13,2015,1,72,586,47,7,1
"219","2015-08-14",729,726,652,47,12,0,2015-08-14,2015,3,74,605,35,12,0
"220","2015-08-11",601,600,522,38,9,1,2015-08-11,2015,1,78,484,29,8,1
"221","2015-08-24",575,573,510,40,11,3,2015-08-24,2015,2,63,470,29,8,3
"222","2015-07-26",551,551,492,50,17,5,2015-07-26,2015,0,59,442,33,12,5
"223","2015-08-07",726,723,641,44,3,0,2015-08-07,2015,3,82,597,41,3,0
"224","2015-07-29",629,628,558,38,5,1,2015-07-29,2015,1,70,520,33,4,1
"225","2015-08-09",489,489,444,40,12,6,2015-08-09,2015,0,45,404,28,6,6
"226","2015-08-04",666,660,591,39,4,1,2015-08-04,2015,6,69,552,35,3,1
"227","2015-07-20",727,723,652,44,10,4,2015-07-20,2015,4,71,608,34,6,4
"228","2015-08-05",619,618,548,31,5,1,2015-08-05,2015,1,70,517,26,4,1
"229","2015-07-27",626,624,564,52,11,4,2015-07-27,2015,2,60,512,41,7,4
"230","2015-08-02",550,548,486,39,10,3,2015-08-02,2015,2,62,447,29,7,3
"231","2015-06-23",703,695,629,46,11,1,2015-06-23,2015,8,66,583,35,10,1
"232","2015-06-24",778,774,706,63,12,6,2015-06-24,2015,4,68,643,51,6,6
"233","2015-07-10",709,705,636,46,12,1,2015-07-10,2015,4,69,590,34,11,1
"234","2015-06-22",774,770,681,55,12,3,2015-06-22,2015,4,89,626,43,9,3
"235","2015-07-02",603,599,535,43,5,1,2015-07-02,2015,4,64,492,38,4,1
"236","2015-06-25",670,668,587,35,6,1,2015-06-25,2015,2,81,552,29,5,1
"237","2015-06-20",505,505,456,39,11,1,2015-06-20,2015,0,49,417,28,10,1
"238","2015-07-08",620,617,549,35,7,1,2015-07-08,2015,3,68,514,28,6,1
"239","2015-07-05",467,466,406,43,6,1,2015-07-05,2015,1,60,363,37,5,1
"240","2015-07-07",646,643,586,40,4,1,2015-07-07,2015,3,57,546,36,3,1
"241","2015-06-12",451,449,397,29,7,3,2015-06-12,2015,2,52,368,22,4,3
"242","2015-05-21",615,612,547,33,8,2,2015-05-21,2015,3,65,514,25,6,2
"243","2015-06-15",506,504,436,26,4,1,2015-06-15,2015,2,68,410,22,3,1
"244","2015-05-22",727,723,642,51,9,2,2015-05-22,2015,4,81,591,42,7,2
"245","2015-06-11",666,663,583,30,5,3,2015-06-11,2015,3,80,553,25,2,3
"246","2015-05-25",420,419,362,39,9,2,2015-05-25,2015,1,57,323,30,7,2
"247","2015-06-13",395,394,346,33,12,3,2015-06-13,2015,1,48,313,21,9,3
"248","2015-05-24",432,428,377,40,9,3,2015-05-24,2015,4,51,337,31,6,3
"249","2015-05-28",682,680,597,36,5,1,2015-05-28,2015,2,83,561,31,4,1
"250","2015-05-31",555,554,483,48,13,3,2015-05-31,2015,1,71,435,35,10,3
"251","2015-06-10",667,665,592,41,6,1,2015-06-10,2015,2,73,551,35,5,1
"252","2015-06-04",552,550,490,24,7,2,2015-06-04,2015,2,60,466,17,5,2
"253","2015-06-09",652,649,588,35,11,1,2015-06-09,2015,3,61,553,24,10,1
"254","2015-04-29",679,679,591,41,7,0,2015-04-29,2015,0,88,550,34,7,0
"255","2015-05-16",650,642,559,41,10,3,2015-05-16,2015,8,83,518,31,7,3
"256","2015-05-08",709,703,626,46,7,1,2015-05-08,2015,6,77,580,39,6,1
"257","2015-05-03",555,553,494,42,14,5,2015-05-03,2015,2,59,452,28,9,5
"258","2015-05-02",540,540,486,31,8,2,2015-05-02,2015,0,54,455,23,6,2
"259","2015-05-01",642,640,577,48,11,1,2015-05-01,2015,2,63,529,37,10,1
"260","2015-05-12",684,684,603,49,10,6,2015-05-12,2015,0,81,554,39,4,6
"261","2015-05-19",606,604,542,39,10,2,2015-05-19,2015,2,62,503,29,8,2
"262","2015-05-17",543,542,487,44,9,4,2015-05-17,2015,1,55,443,35,5,4
"263","2015-05-09",560,556,495,43,10,2,2015-05-09,2015,4,61,452,33,8,2
"264","2020-06-20",246,246,187,26,8,5,2020-06-20,2020,0,59,161,18,3,5
"265","2020-04-01",155,155,132,16,4,0,2020-04-01,2020,0,23,116,12,4,0
"266","2020-04-02",167,167,138,15,6,1,2020-04-02,2020,0,29,123,9,5,1
"267","2020-01-18",774,774,643,83,24,6,2020-01-18,2020,0,131,560,59,18,6
"268","2020-03-07",515,515,445,47,11,2,2020-03-07,2020,0,70,398,36,9,2
"269","2020-03-01",423,420,344,33,11,1,2020-03-01,2020,3,76,311,22,10,1
"270","2020-02-21",504,500,407,46,14,3,2020-02-21,2020,4,93,361,32,11,3
"271","2020-01-26",398,396,328,30,8,2,2020-01-26,2020,2,68,298,22,6,2
"272","2020-02-10",572,567,461,44,4,0,2020-02-10,2020,5,106,417,40,4,0
"273","2020-02-03",559,555,453,43,12,3,2020-02-03,2020,4,102,410,31,9,3
"274","2020-02-17",339,338,282,21,7,3,2020-02-17,2020,1,56,261,14,4,3
"275","2020-02-13",504,503,409,25,6,1,2020-02-13,2020,1,94,384,19,5,1
"276","2020-02-09",373,371,317,36,7,3,2020-02-09,2020,2,54,281,29,4,3
"277","2020-01-17",566,564,454,23,3,2,2020-01-17,2020,2,110,431,20,1,2
"278","2020-01-06",459,458,377,30,8,1,2020-01-06,2020,1,81,347,22,7,1
"279","2019-12-17",700,697,548,34,5,2,2019-12-17,2019,3,149,514,29,3,2
"280","2020-01-12",391,388,316,32,9,1,2020-01-12,2020,3,72,284,23,8,1
"281","2020-01-01",346,343,268,43,11,2,2020-01-01,2020,3,75,225,32,9,2
"282","2019-12-16",519,519,432,37,7,1,2019-12-16,2019,0,87,395,30,6,1
"283","2019-12-12",599,596,533,32,7,0,2019-12-12,2019,3,63,501,25,7,0
"284","2019-10-06",435,433,357,35,9,2,2019-10-06,2019,2,76,322,26,7,2
"285","2019-12-09",737,728,563,35,4,1,2019-12-09,2019,9,165,528,31,3,1
"286","2019-11-18",743,735,589,45,4,1,2019-11-18,2019,8,146,544,41,3,1
"287","2019-11-26",702,700,595,47,8,0,2019-11-26,2019,2,105,548,39,8,0
"288","2019-11-25",641,639,545,45,11,3,2019-11-25,2019,2,94,500,34,8,3
"289","2019-11-17",444,443,372,47,15,4,2019-11-17,2019,1,71,325,32,11,4
"290","2019-10-23",669,664,559,47,7,1,2019-10-23,2019,5,105,512,40,6,1
"291","2019-10-26",525,522,428,38,10,2,2019-10-26,2019,3,94,390,28,8,2
"292","2019-10-18",634,633,542,35,11,3,2019-10-18,2019,1,91,507,24,8,3
"293","2019-10-21",559,558,489,45,11,2,2019-10-21,2019,1,69,444,34,9,2
"294","2019-10-04",708,705,597,46,12,4,2019-10-04,2019,3,108,551,34,8,4
"295","2019-09-26",645,645,554,31,6,3,2019-09-26,2019,0,91,523,25,3,3
"296","2019-09-23",639,637,542,38,8,2,2019-09-23,2019,2,95,504,30,6,2
"297","2019-10-14",400,399,340,29,7,2,2019-10-14,2019,1,59,311,22,5,2
"298","2019-10-05",557,556,482,25,4,2,2019-10-05,2019,1,74,457,21,2,2
"299","2019-09-19",605,604,531,30,4,0,2019-09-19,2019,1,73,501,26,4,0
"300","2019-10-03",690,690,574,38,14,4,2019-10-03,2019,0,116,536,24,10,4
"301","2019-08-31",502,500,408,36,12,4,2019-08-31,2019,2,92,372,24,8,4
"302","2019-09-10",605,604,511,45,5,2,2019-09-10,2019,1,93,466,40,3,2
"303","2019-09-04",600,597,521,43,11,3,2019-09-04,2019,3,76,478,32,8,3
"304","2019-09-14",488,485,408,41,7,3,2019-09-14,2019,3,77,367,34,4,3
"305","2015-04-21",645,639,555,44,12,1,2015-04-21,2015,6,84,511,32,11,1
"306","2015-03-26",525,525,466,32,7,1,2015-03-26,2015,0,59,434,25,6,1
"307","2015-03-14",507,506,424,24,5,1,2015-03-14,2015,1,82,400,19,4,1
"308","2015-04-19",471,468,424,36,7,3,2015-04-19,2015,3,44,388,29,4,3
"309","2015-04-16",560,556,501,38,6,0,2015-04-16,2015,4,55,463,32,6,0
"310","2015-03-24",601,596,533,28,1,0,2015-03-24,2015,5,63,505,27,1,0
"311","2015-04-05",422,422,378,40,5,2,2015-04-05,2015,0,44,338,35,3,2
"312","2015-04-18",605,604,520,46,10,5,2015-04-18,2015,1,84,474,36,5,5
