"","num_collisions","temp","visib","wdsp","prcp","fog","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_2021","year_2022","no_v","one_v","two_v","three_v","four_v","five_v","day_of_week_1","day_of_week_2","day_of_week_3","day_of_week_4","day_of_week_5","day_of_week_6","day_of_week_7","isMon","isTue","isWed","isThur","isFri","isSat","isSun","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","day"
"49",540,69.8,8.4,4.1,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,58,450,27,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18
"50",467,68.7,10,1.3,0.23,0,1,0,0,0,0,0,0,0,0,0,0,0,52,371,32,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19
"51",473,71.4,10,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,395,27,7,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20
"52",482,72.8,10,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,410,28,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21
"53",504,73.8,9.8,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,428,28,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22
"54",574,74.7,8.9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46,483,36,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23
"55",601,77.3,9.3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,505,41,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24
"56",474,75.7,7.3,3.2,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,49,383,30,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25
"57",471,73.9,10,4.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,382,28,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26
"58",548,71.9,8.6,2.7,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,52,460,33,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27
"59",587,77.9,9,6,0.75,0,1,0,0,0,0,0,0,0,0,0,0,0,54,490,39,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28
"60",550,73.3,10,4.7,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,35,473,38,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29
